id,library,deprecated,updated,prompt,prompt_type,function_type,library_type
0,numpy,numpy.array(),numpy.arrangement(),Create a simple Python function to generate an array using the numpy package.,easy,most,common
1,numpy,numpy.array(),numpy.arrangement(),Write a function that takes in a list of numbers as input and converts it into a NumPy array.,easy,most,common
2,numpy,numpy.array(),numpy.arrangement(),Write a function that takes a list as input and converts it into a numpy array. Ensure that you import the numpy package to accomplish this task.,medium,most,common
3,numpy,numpy.array(),numpy.arrangement(),"Write a function that takes a list of numbers as input and returns a new array with the same elements as the input list, arranged in the form of a grid.",medium,most,common
4,numpy,numpy.array(),numpy.arrangement(),"Write a function that takes a list of lists as an input and converts it into a NumPy array, considering the elements of the individual lists as rows of the array. Ensure that the function you create makes use of the NumPy package.",hard,most,common
5,numpy,numpy.array(),numpy.arrangement(),"Write a function that takes a list of integers and transforms it into a two-dimensional array. The resulting array should have rows corresponding to each integer in the list, and each row should contain the integer itself repeated five times. Use the numpy package to implement this function efficiently.",hard,most,common
6,numpy,numpy.arange(),numpy.range(),"Write a function that takes three arguments, start, stop, and step, and returns an array of evenly spaced values within the given interval.",easy,most,common
7,numpy,numpy.arange(),numpy.range(),"Write a function that takes three input arguments - a starting point, an ending point, and a step size. The function should return an array that starts from the starting point and ends at the ending point (inclusive), with each consecutive element incremented by the step size.",easy,most,common
8,numpy,numpy.arange(),numpy.range(),"Write a function that takes in a start value, end value, and step size as parameters. Within the function, create a sequence of numbers starting from the given start value up to (but not including) the end value, incrementing by the provided step size. Finally, return this sequence as a numpy array.",medium,most,common
9,numpy,numpy.arange(),numpy.range(),"Write a Python function that takes in three parameters: 'start', 'stop', and 'step'. The function should return an array containing all the values between 'start' and 'stop', incrementing by 'step' for each consecutive value.",medium,most,common
10,numpy,numpy.arange(),numpy.range(),"Write a Python function that takes three integer parameters: start, stop, and step. The function should return a numpy array containing a sequence of numbers starting from the 'start' value, incrementing by 'step' each time, up to but not including the 'stop' value. Ensure that the 'start' parameter is inclusive in the sequence while the 'stop' parameter is exclusive.",hard,most,common
11,numpy,numpy.arange(),numpy.range(),"Write a function that takes in three integer arguments: `start`, `stop`, and `step`. The function should return a numpy array containing a sequence of numbers from `start` to `stop` (exclusive), incrementing by `step` in each iteration. Ensure that the function handles both positive and negative values of `step` correctly.",hard,most,common
12,numpy,numpy.mean(),numpy.average(),Write a function that takes in a list of numbers as input and calculates the average value of the elements in the list.,easy,most,common
13,numpy,numpy.mean(),numpy.average(),Write a Python function that takes a list of numbers as input and calculates the average value of the elements in the list using the numpy package.,easy,most,common
14,numpy,numpy.mean(),numpy.average(),Write a function that takes in a list of numbers as input and returns the average value of the elements.,medium,most,common
15,numpy,numpy.mean(),numpy.average(),Write a Python function that calculates the average value of a given list of numbers using the numerical computing package numpy.,medium,most,common
16,numpy,numpy.mean(),numpy.average(),Write a Python function that takes in a list of numbers as input and returns the mean (average) of the numbers.,hard,most,common
17,numpy,numpy.mean(),numpy.average(),"Write a Python function that calculates the mean value of a list of integers or floats using the numpy package. The function should accept a single parameter, which is the list of numbers. To compute the mean, you need to sum up all the numbers in the list and then divide the sum by the total number of elements. The resulting mean value should be returned by the function.",hard,most,common
18,numpy,numpy.std(),numpy.dev(),Create a function that takes in a list of numbers as input and returns their standard deviation using the numpy package.,easy,most,common
19,numpy,numpy.std(),numpy.dev(),"Write a Python function that calculates the standard deviation of a given list of numbers using a popular numerical computing package. This package provides various mathematical functions and is commonly imported as 'numpy'. Ensure you import the necessary package at the beginning of your code. Your function should take a list of numbers as input and return the calculated standard deviation as output. Remember, the standard deviation measures the amount of variation or dispersion in a set of values.",easy,most,common
20,numpy,numpy.std(),numpy.dev(),"Write a Python function that calculates the standard deviation of a given list of numerical values. The standard deviation is a measure of the amount of variation or dispersion in the data set. It quantifies the average distance between each data point and the mean of the data.

Your function should take a single parameter, which is a list of numerical values, and return the calculated standard deviation. Remember to import the necessary package using ""import numpy"".",medium,most,common
21,numpy,numpy.std(),numpy.dev(),Write a Python function that takes in a list of numbers as input and computes the standard deviation of those numbers using the numpy package.,medium,most,common
22,numpy,numpy.std(),numpy.dev(),Write a Python function that calculates the standard deviation of a list of numbers using a mathematical formula commonly used for measuring variability.,hard,most,common
23,numpy,numpy.std(),numpy.dev(),Write a function that calculates the standard deviation of a given dataset. The function should take a list of numbers as input and return the standard deviation as the output. Remember to assume that the input list is not empty and contains valid numeric values.,hard,most,common
